platform,storefront,app_id,review_id,date,user,rating,title,review,version,package,thumbsUpCount,appVersion
app_store,us,298867247.0,13978580225,2026-04-20T08:13:30-07:00,b628pm!,5,App Simple To Use,"I’ve been with Chase, well, since before it was Chase. And for all these years I have seen no reason to switch to another bank. The App is easy to use, and when I do need to go into a bank, the staff is always helpful.",4.734,,,
app_store,us,298867247.0,13978577760,2026-04-20T08:12:43-07:00,buholva,5,Gracias,"Muy preocupados , por informar.",4.734,,,
app_store,us,298867247.0,13978395634,2026-04-20T07:13:46-07:00,beansean,5,Chase Bank,I really like being a member of chase bank anytime there is a problem it’s fixed thanks team you are my bank forever,4.734,,,
app_store,us,298867247.0,13978344417,2026-04-20T06:57:11-07:00,Pleasure2meetu,5,Exceptional Service,Noah was very professional and solved all my problems. Highly recommend Chase because of this young man. Thank you Noah,4.734,,,
app_store,us,298867247.0,13978123253,2026-04-20T05:43:27-07:00,Azsteph5,5,Been good,Chase has been a good bank for my family.so thank you chase.,4.734,,,
app_store,us,298867247.0,13977709501,2026-04-20T02:59:28-07:00,Chillio22,1,Stop with the endless “paperless” popups!,"Every single time I log on to the Chase app, the stupid popups come up trying to get me to sign up for paperless billing. I swiped it away and STILL it signed me up for paperless (I got a confirmation email about it). I had to go in and change back my settings. JUST STOP…please.",4.734,,,
app_store,us,298867247.0,13977693413,2026-04-20T02:51:48-07:00,Chief Big Rooster,5,Best App ever,I love Chase and there app makes my business and personel life so much easier.,4.734,,,
app_store,us,298867247.0,13977594832,2026-04-20T02:02:45-07:00,Mizterz,1,Comments don’t always hold,“Done” button isn’t alway visable,4.734,,,
app_store,us,298867247.0,13976994049,2026-04-19T20:45:19-07:00,Commerceresident,5,Card replacement easy,The process was very simple and very easy to understand,4.734,,,
app_store,us,298867247.0,13976980011,2026-04-19T20:38:23-07:00,Hrkehdje,4,Hola,Deberían poner en español los servicios fuera de la aplicación,4.734,,,
app_store,us,298867247.0,13976853476,2026-04-19T19:38:03-07:00,My Bigness,1,Difficult to sign in,"There are more steps to sign in than any of the other banking apps.  Sometimes. Have to request 3 or 4 codes to be texted to me before I get one.  Facial rec requires a password, which is unusual",4.734,,,
app_store,us,298867247.0,13976222582,2026-04-19T14:59:49-07:00,M. Erickson,5,Excellent card,Love my card and credit. I use it for almost everything from business to grocery shopping,4.734,,,
app_store,us,298867247.0,13976165451,2026-04-19T14:35:33-07:00,j0k3r214,5,Thank you Chase,I have never had any problems with your service.,4.734,,,
app_store,us,298867247.0,13975656003,2026-04-19T11:24:34-07:00,Dave and Paige,5,Always have loved Chase,"Great auto loans .. I have had three of them , plus the 3% cash back for restaurants is exceptional",4.734,,,
app_store,us,298867247.0,13975632113,2026-04-19T11:16:32-07:00,Michael Critz,1,Annoyed,I’m giving this 1 star because I was prompted for a review before I could compete what I was trying to do.,4.734,,,
app_store,us,298867247.0,13975625073,2026-04-19T11:14:09-07:00,Jdel!!!,5,Chase App Review,"Honestly, Chase is one of only 2 banks I’ve ever used. No Doubt tho, this app is so Easy to Use and Fast. I love it ; )",4.734,,,
app_store,us,298867247.0,13975304530,2026-04-19T09:29:50-07:00,Mary villatoro,5,Bingo,Angel.,4.734,,,
app_store,us,298867247.0,13974745832,2026-04-19T06:38:03-07:00,BelloAri,5,I love chase,Chase is the best!,4.734,,,
app_store,us,298867247.0,13974694209,2026-04-19T06:21:38-07:00,SUPSIZE,5,Outstanding,Always works for me!,4.734,,,
