platform,storefront,app_id,review_id,date,user,rating,title,review,version,package,thumbsUpCount,appVersion
app_store,us,311548709.0,13566972131,2025-12-28T17:23:18-07:00,Dibreca,5,Excepcional,El mejor Banco,25.12.00,,,
app_store,us,311548709.0,13566827327,2025-12-28T16:28:24-07:00,Joe Reaganite,5,MOBILE SERVICES   SUPER SIMPLE EASY TO DEPOSIT CHECK 😀,SUPER SIMPLE AS A B C TO MOVE TRANSACTIONS ☺️,25.12.00,,,
app_store,us,311548709.0,13566540429,2025-12-28T14:40:50-07:00,Nat-k-01,5,THANKS,I LOVE WELLS FARGO!!!,25.12.00,,,
app_store,us,311548709.0,13566469756,2025-12-28T14:14:48-07:00,mamiñy,5,Excelente Banco,Atención de Primera Excelente Calidad y servicio Sus Trabajadores Ofrecen Un Servicio Especial Gracias Wells Fargo👏👏👏,25.12.00,,,
app_store,us,311548709.0,13566325261,2025-12-28T13:22:37-07:00,Buzo buzo,5,Uso de Zelle,Gracias por que hicieron esta herramienta que facilita recibir o hacer un pago y funciona muy bien.,25.12.00,,,
app_store,us,311548709.0,13566097473,2025-12-28T12:04:51-07:00,Jch12791247,2,Zelle Terrible,The Zelle functionality in this app is absolutely horrendous. It freezes every single time.,25.12.00,,,
app_store,us,311548709.0,13565315341,2025-12-28T08:04:15-07:00,Mybox4Things,5,TBird,"It is so easy to bank at Wells Fargo through their app or within the comfort of my own home. From paying bills, managing my accounts, receiving funds from other people, as well as sending funds to other people…they simply make it easy. Plus, I know that they always have my back. If anything out of the ordinary pop up, they flag it, hold the account, and immediately give me a call or send me a notification!! I LOVE It!! :-)",25.12.00,,,
app_store,us,311548709.0,13563393020,2025-12-27T19:58:37-07:00,Sivijali,5,I like my bank,I like my bank,25.12.00,,,
app_store,us,311548709.0,13562771105,2025-12-27T15:59:50-07:00,Dominic$$,5,So far so good,It’s been a 2 years with Wells Fargo never ever  I have a problem with them I love it  and I wanna be continue banking with them ❤️,25.12.00,,,
app_store,us,311548709.0,13562724723,2025-12-27T15:41:38-07:00,56loop,1,New customer,"Not happy at all, can’t see my transaction history at all and that is suspect. Also no features for new members none at all, fail!",25.12.00,,,
app_store,us,311548709.0,13562567836,2025-12-27T14:40:56-07:00,rigged 1,1,Nsf fees,Your nsf fees are b.s. Switching Banks soon!!,25.12.00,,,
app_store,us,311548709.0,13562178057,2025-12-27T12:20:25-07:00,Denmby,5,Me encanta,El mejor banco,25.12.00,,,
app_store,us,311548709.0,13561446371,2025-12-27T08:28:37-07:00,Alick32,5,Best App for Banking!,"This is the best banking app I’ve ever had! WF is like if a tech company and a bank had a baby! Customer service is always on point, too!",25.12.00,,,
app_store,us,311548709.0,13561229667,2025-12-27T07:24:51-07:00,Sunnybearysmoky,5,Great Easy Zelle,Great,25.12.00,,,
app_store,us,311548709.0,13561216347,2025-12-27T07:20:55-07:00,fjdheksjd,1,Inconsistent,This app only have the basic features it’s still missing key things like online chat support options and experiencing problems just because I got a new phone number doesn’t mean I’m suddenly a brand new person and have to gorgeous security check after security check just to ask a simple question,25.12.00,,,
app_store,us,311548709.0,13559922844,2025-12-26T23:21:32-07:00,Upshot’s,5,Love it,10/10,25.12.00,,,
app_store,us,311548709.0,13559797366,2025-12-26T22:23:37-07:00,AI Jasmin,5,Send $,Quick & simple !,25.12.00,,,
